Variable,Odds_Ratio,P_Value,Coefficient
angry_uncooperative_flag,3.49,0.0,1.2498
manic_flag,2.125,0.0015,0.754
confusion_flag,1.942,0.001,0.6636
delusions_flag,1.771,0.5335,0.5714
substance_involvement_flag,1.463,0.0193,0.3806
depressed_flag,1.399,0.0387,0.3357
disorganized_speech_flag,1.394,0.1719,0.3322
scared_frightened_flag,0.866,0.4976,-0.1439
const,0.328,0.0,-1.1146
hallucinations_flag,0.269,0.0445,-1.3143
