call_type,call_type_clean,call_type_group
Med; Att Suicide,med att suicide,Suicidal / Self-Harm
Mental Health / Suicidal,mental health / suicidal,Suicidal / Self-Harm
Person Needs Assistance/Suicidal Person,person needs assistance / suicidal person,Suicidal / Self-Harm
Runway / Suicidal Person,runaway / suicidal person,Suicidal / Self-Harm
Self Harm/Suicidal,self harm / suicidal,Suicidal / Self-Harm
Self-harm/Suicidal Person,self harm / suicidal person,Suicidal / Self-Harm
SUICIDAL,suicidal,Suicidal / Self-Harm
Suicidal,suicidal,Suicidal / Self-Harm
Suicidal/Person Needs Assistance,suicidal / person needs assistance,Suicidal / Self-Harm
Suicidal/Welfare Check,suicidal / welfare check,Suicidal / Self-Harm
Suicidal Ideation,suicidal ideation,Suicidal / Self-Harm
Suicidal Ideations,suicidal ideation,Suicidal / Self-Harm
Suicidal Juvenile,suicidal juvenile,Suicidal / Self-Harm
Suicidal Male,suicidal male,Suicidal / Self-Harm
SUICIDAL PERSON,suicidal person,Suicidal / Self-Harm
SUicidal Person,suicidal person,Suicidal / Self-Harm
Suicidal Claller,suicidal person,Suicidal / Self-Harm
Suicidal PErson,suicidal person,Suicidal / Self-Harm
Suicidal Person,suicidal person,Suicidal / Self-Harm
Suicidal person,suicidal person,Suicidal / Self-Harm
Suicide Person,suicidal person,Suicidal / Self-Harm
Suicidal Person/Assist Fire,suicidal person / assist fire,Suicidal / Self-Harm
Suicidal Person/BLS,suicidal person / bls,Suicidal / Self-Harm
SUICIDAL PERSON/DISTURBANCE,suicidal person / disturbance,Suicidal / Self-Harm
Suicidal Person/Medical Call,suicidal person / medical call,Suicidal / Self-Harm
SUICIDAL PERSON/SUSPICIOUS,suicidal person / suspicious,Suicidal / Self-Harm
Suicidal Subject,suicidal subject,Suicidal / Self-Harm
Suicide,suicide,Suicidal / Self-Harm
SUICIDE ATTEMPT,suicide attempt,Suicidal / Self-Harm
Suicide Attempt,suicide attempt,Suicidal / Self-Harm
Suicide attempt,suicide attempt,Suicidal / Self-Harm
Suicide Attempts,suicide attempts,Suicidal / Self-Harm
Privacy in Communications,privacy in communications,Suspicious Activity
SUSPICIOUS ACTIVITY,suspicious activity,Suspicious Activity
Suspicious Activity,suspicious activity,Suspicious Activity
Burglary,burglary,Trespass / Disorderly Conduct
Criminal Mischief,criminal mischief,Trespass / Disorderly Conduct
DISORDERLY CONDUCT,disorderly conduct,Trespass / Disorderly Conduct
